tenure,monthly_charges,total_charges,num_services,support_calls,contract_type,payment_method,internet_service,churn
7,23.39,155.59,7,2.0,Month-to-month,Credit card,No,0
56,88.3,4927.39,6,3.0,Two year,Bank transfer,No,0
48,115.05,4901.93,3,9.0,Month-to-month,Credit card,No,1
32,102.92,3091.74,1,1.0,One year,Electronic check,Fiber optic,1
32,47.72,,2,,Month-to-month,Mailed check,Fiber optic,1
62,25.33,,2,3.0,One year,Electronic check,Fiber optic,0
7,114.04,832.52,3,6.0,One year,Bank transfer,DSL,1
51,113.71,5913.19,7,8.0,Month-to-month,Bank transfer,No,1
15,73.24,,1,6.0,One year,Mailed check,Fiber optic,0
7,84.23,569.99,5,5.0,Month-to-month,Mailed check,Fiber optic,1
38,66.26,2443.95,3,9.0,Two year,Bank transfer,DSL,1
71,61.98,4220.31,1,1.0,Month-to-month,Credit card,DSL,1
53,31.94,1459.0,5,9.0,One year,Mailed check,No,0
55,29.68,,5,3.0,Month-to-month,Mailed check,DSL,1
52,43.27,2234.89,7,3.0,One year,Electronic check,DSL,0
57,103.66,5627.94,4,10.0,Month-to-month,Credit card,Fiber optic,1
37,34.58,1310.27,3,7.0,One year,Credit card,Fiber optic,0
10,42.67,420.08,6,4.0,Month-to-month,Bank transfer,DSL,0
61,74.86,4212.71,2,3.0,Month-to-month,Credit card,DSL,1
33,41.51,1169.75,5,4.0,Two year,Credit card,Fiber optic,0
37,36.32,1158.16,7,8.0,Month-to-month,Credit card,No,1
27,76.33,1896.78,1,1.0,Month-to-month,Mailed check,Fiber optic,1
14,56.81,749.55,7,1.0,One year,Electronic check,Fiber optic,1
67,82.62,4889.95,2,3.0,Month-to-month,Credit card,DSL,1
57,111.22,5628.66,4,5.0,Two year,Electronic check,Fiber optic,0
47,35.1,1478.2,2,8.0,Month-to-month,Mailed check,Fiber optic,1
29,111.34,3248.56,2,2.0,Two year,Bank transfer,No,0
60,110.25,6643.16,5,,Two year,Credit card,Fiber optic,1
40,102.91,3814.21,4,9.0,Month-to-month,Bank transfer,DSL,1
32,83.13,2352.84,4,4.0,Month-to-month,Mailed check,DSL,1
33,82.01,2360.41,4,,One year,Credit card,No,1
17,83.92,1237.5,6,9.0,One year,Electronic check,DSL,0
7,89.05,578.63,7,8.0,Month-to-month,Electronic check,Fiber optic,1
40,21.65,743.99,4,4.0,Month-to-month,Bank transfer,Fiber optic,0
64,115.81,6794.63,2,3.0,Month-to-month,Mailed check,DSL,0
5,78.56,409.42,3,9.0,One year,Mailed check,Fiber optic,1
62,98.15,5790.17,4,4.0,One year,Mailed check,Fiber optic,0
60,57.73,3514.13,1,0.0,Month-to-month,Mailed check,No,0
20,21.24,372.06,2,7.0,Month-to-month,Credit card,DSL,1
46,70.97,2949.96,2,3.0,One year,Mailed check,DSL,1
12,70.72,882.0,7,10.0,Two year,Bank transfer,DSL,1
55,63.7,3246.73,3,9.0,Month-to-month,Electronic check,DSL,1
51,53.97,2696.54,7,1.0,Month-to-month,Credit card,Fiber optic,1
26,44.98,1222.37,4,9.0,Month-to-month,Credit card,Fiber optic,0
5,72.75,349.26,4,10.0,One year,Electronic check,DSL,0
70,57.53,3668.97,7,,Month-to-month,Bank transfer,No,0
33,116.99,3692.3,5,,Month-to-month,Bank transfer,DSL,1
65,37.29,2086.76,2,7.0,One year,Electronic check,Fiber optic,0
49,51.97,2221.78,2,9.0,Month-to-month,Credit card,No,1
57,49.4,2397.47,5,,Month-to-month,Credit card,Fiber optic,1
55,74.33,4197.88,1,4.0,Month-to-month,Credit card,DSL,1
15,69.93,1032.44,2,7.0,Month-to-month,Bank transfer,No,0
27,84.37,2072.21,1,4.0,Month-to-month,Bank transfer,Fiber optic,1
34,115.0,3496.45,5,2.0,Month-to-month,Bank transfer,DSL,0
36,48.52,1723.34,4,7.0,Month-to-month,Credit card,DSL,1
4,89.28,369.23,1,5.0,Month-to-month,Bank transfer,No,1
40,22.5,818.85,6,2.0,Two year,Bank transfer,DSL,0
12,46.24,507.33,5,7.0,Two year,Electronic check,No,0
54,66.37,3658.7,6,3.0,Month-to-month,Bank transfer,DSL,0
50,23.1,1188.12,2,6.0,One year,Electronic check,DSL,1
67,81.77,5658.33,7,3.0,Month-to-month,Mailed check,No,1
54,87.83,4309.47,2,9.0,Two year,Credit card,No,0
27,94.67,2234.18,4,9.0,Two year,Electronic check,DSL,1
70,71.66,4705.19,4,5.0,One year,Credit card,DSL,0
30,80.39,2192.6,2,7.0,One year,Mailed check,Fiber optic,0
24,59.61,1468.94,3,1.0,Month-to-month,Credit card,Fiber optic,1
66,24.13,1365.36,1,10.0,Month-to-month,Credit card,Fiber optic,1
27,30.0,791.19,4,2.0,Month-to-month,Electronic check,DSL,1
6,85.5,529.02,5,,Month-to-month,Electronic check,No,1
34,119.56,4249.32,3,9.0,One year,Credit card,DSL,1
58,21.58,1226.64,4,1.0,Month-to-month,Mailed check,DSL,1
14,75.76,1103.05,7,0.0,Month-to-month,Mailed check,DSL,1
34,95.1,2797.32,2,8.0,One year,Electronic check,DSL,1
10,102.68,946.56,3,9.0,One year,Bank transfer,Fiber optic,1
50,74.52,3173.59,1,7.0,One year,Electronic check,DSL,1
35,81.99,,4,0.0,Month-to-month,Mailed check,Fiber optic,1
24,89.67,2217.82,2,7.0,Two year,Mailed check,Fiber optic,1
17,105.9,,6,,Month-to-month,Credit card,DSL,0
41,32.23,1128.01,3,10.0,One year,Mailed check,No,1
49,112.62,5095.64,5,8.0,Month-to-month,Credit card,Fiber optic,1
68,22.6,1385.74,2,8.0,Month-to-month,Bank transfer,DSL,1
32,103.62,3380.12,3,4.0,Two year,Mailed check,DSL,0
12,27.67,292.89,2,3.0,Month-to-month,Electronic check,Fiber optic,1
60,39.46,2386.85,4,9.0,Month-to-month,Credit card,Fiber optic,1
46,20.39,901.26,1,1.0,Month-to-month,Mailed check,Fiber optic,1
51,64.53,3045.78,1,1.0,Two year,Bank transfer,Fiber optic,1
8,53.44,375.85,4,0.0,Two year,Mailed check,DSL,1
23,36.6,883.5,4,5.0,Month-to-month,Mailed check,No,1
56,65.11,3549.89,3,0.0,One year,Bank transfer,DSL,0
60,60.24,3389.86,4,6.0,Month-to-month,Mailed check,DSL,1
32,96.77,2861.99,3,1.0,One year,Credit card,Fiber optic,0
58,109.31,6537.44,6,9.0,Month-to-month,Bank transfer,DSL,1
61,85.26,5274.91,4,4.0,Month-to-month,Credit card,Fiber optic,0
28,32.44,919.44,6,1.0,One year,Mailed check,DSL,0
65,49.54,3133.93,2,7.0,Two year,Electronic check,Fiber optic,0
21,111.33,2402.44,2,3.0,Month-to-month,Electronic check,Fiber optic,1
18,28.87,472.82,3,2.0,Month-to-month,Credit card,Fiber optic,1
50,60.69,3006.4,1,7.0,Two year,Credit card,Fiber optic,1
46,114.25,4892.29,5,10.0,Month-to-month,Bank transfer,DSL,0
11,115.07,1227.8,3,10.0,Month-to-month,Bank transfer,No,1
