timestamp,customer_id,tenure,monthly_charges,total_charges,num_services,support_calls,contract_type,payment_method,internet_service,churn_probability,predicted_churn
2026-09-06 23:09:12,12929,8,75.66,584.71,3,4,Two year,Electronic check,Fiber optic,0.3796,0
2026-09-06 23:09:16,12930,65,98.85,6360.81,5,2,Two year,Credit card,DSL,0.2993,0
2026-09-06 23:09:20,12931,23,92.27,1942.19,7,4,Month-to-month,Electronic check,Fiber optic,0.7374,1
2026-09-06 23:09:24,12932,11,20.01,202.96,5,4,One year,Credit card,Fiber optic,0.3456,0
2026-09-06 23:09:28,12933,48,59.74,2533.53,6,4,Month-to-month,Mailed check,No,0.581,1
2026-09-06 23:09:32,12934,19,107.34,1959.96,6,2,Month-to-month,Bank transfer,No,0.6865,1
2026-09-06 23:09:36,12935,34,66.26,2170.83,3,5,Month-to-month,Electronic check,DSL,0.7323,1
2026-09-06 23:09:40,12936,56,58.32,2862.79,3,7,Month-to-month,Credit card,DSL,0.7802,1
2026-09-06 23:09:44,12937,24,24.56,575.49,2,6,Two year,Credit card,Fiber optic,0.3542,0
2026-09-06 23:09:48,12938,37,89.33,2846.35,3,5,Two year,Bank transfer,No,0.4239,0
2026-09-06 23:09:53,12939,58,113.79,6535.86,5,9,Month-to-month,Mailed check,DSL,0.5951,1
2026-09-06 23:09:56,12940,61,94.09,5687.58,2,5,Two year,Mailed check,Fiber optic,0.3035,0
2026-09-06 23:10:01,12941,3,69.96,185.27,5,2,One year,Electronic check,DSL,0.4844,0
2026-09-06 23:10:05,12942,64,56.11,3329.11,7,7,One year,Electronic check,DSL,0.2274,0
2026-09-06 23:10:09,12943,2,46.29,81.54,1,4,Month-to-month,Bank transfer,DSL,0.8704,1
2026-09-06 23:10:13,12944,56,40.93,2389.75,1,4,Month-to-month,Electronic check,DSL,0.635,1
2026-09-06 23:10:17,12945,51,23.47,1115.64,4,1,One year,Bank transfer,DSL,0.1928,0
2026-09-06 23:10:22,12946,48,119.0,5492.62,2,6,Two year,Credit card,Fiber optic,0.4788,0
2026-09-06 23:10:26,12947,10,101.89,911.02,3,7,One year,Bank transfer,DSL,0.5756,1
2026-09-06 23:10:30,12948,60,81.02,4972.98,2,1,Two year,Credit card,Fiber optic,0.2419,0
2026-09-06 23:10:34,12949,13,52.26,610.92,1,8,Month-to-month,Electronic check,DSL,0.8868,1
2026-09-06 23:10:38,12950,19,112.11,2100.37,1,4,Two year,Bank transfer,DSL,0.4394,0
2026-09-06 23:10:42,12951,71,56.05,3597.11,7,1,One year,Bank transfer,Fiber optic,0.2123,0
2026-09-06 23:10:46,12952,30,29.79,894.06,2,7,Month-to-month,Mailed check,No,0.6529,1
2026-09-06 23:10:50,12953,62,97.64,5221.46,6,1,Month-to-month,Electronic check,No,0.7607,1
2026-09-06 23:10:54,12954,15,75.71,1021.25,5,1,One year,Credit card,Fiber optic,0.2674,0
2026-09-06 23:10:58,12955,8,33.39,239.31,4,9,Month-to-month,Credit card,DSL,0.8085,1
