timestamp,customer_id,tenure,monthly_charges,total_charges,num_services,support_calls,contract_type,payment_method,internet_service,churn_probability,predicted_churn
2026-09-07 15:50:16,11255,52,73.36,3456.94,3,7,Month-to-month,Bank transfer,No,0.7763,1
2026-09-07 15:50:18,11256,9,44.12,362.4,1,0,Month-to-month,Bank transfer,Fiber optic,0.829,1
2026-09-07 15:50:21,11257,51,50.37,2387.02,2,9,Month-to-month,Mailed check,Fiber optic,0.7412,1
2026-09-07 15:50:23,11258,34,63.45,2057.84,7,10,Two year,Credit card,DSL,0.4041,0
2026-09-07 15:50:25,11259,16,27.86,430.47,3,2,Two year,Electronic check,DSL,0.3257,0
2026-09-07 15:50:27,11260,22,20.65,407.36,4,2,One year,Electronic check,DSL,0.2347,0
2026-09-07 15:50:29,11261,6,31.9,198.8,6,10,Month-to-month,Electronic check,No,0.8036,1
2026-09-07 15:50:31,11262,31,80.28,2296.33,6,9,Month-to-month,Electronic check,DSL,0.7223,1
2026-09-07 15:50:34,11263,42,114.81,4817.98,2,6,Month-to-month,Bank transfer,Fiber optic,0.6575,1
2026-09-07 15:50:36,11264,55,37.2,1805.7,5,1,Month-to-month,Bank transfer,Fiber optic,0.5661,1
2026-09-07 15:50:38,11265,40,95.43,3614.03,1,10,Month-to-month,Mailed check,DSL,0.7537,1
2026-09-07 15:50:40,11266,58,89.62,4609.83,5,10,One year,Mailed check,No,0.3119,0
2026-09-07 15:50:42,11267,15,96.09,1468.89,6,5,Month-to-month,Bank transfer,DSL,0.6702,1
2026-09-07 15:50:44,11268,3,110.54,302.17,6,2,Month-to-month,Mailed check,DSL,0.7682,1
2026-09-07 15:50:46,11269,53,21.94,1154.0,7,7,Month-to-month,Electronic check,DSL,0.5182,1
2026-09-07 15:50:48,11270,12,70.78,726.67,5,1,Two year,Electronic check,Fiber optic,0.3934,0
2026-09-07 15:50:51,11271,45,76.85,3482.3,2,1,One year,Electronic check,Fiber optic,0.4263,0
2026-09-07 15:50:53,11272,8,114.85,881.99,5,1,One year,Credit card,No,0.4528,0
2026-09-07 15:50:55,11273,71,41.82,2565.47,1,6,Month-to-month,Credit card,Fiber optic,0.7112,1
2026-09-07 15:50:57,11274,11,82.75,935.18,6,5,Month-to-month,Mailed check,DSL,0.7737,1
2026-09-07 15:50:59,11275,50,59.94,3098.16,1,10,One year,Bank transfer,Fiber optic,0.3144,0
2026-09-07 15:51:01,11276,37,21.67,815.34,2,7,Two year,Bank transfer,Fiber optic,0.385,0
2026-09-07 15:51:04,11277,34,82.58,2644.9,6,9,Month-to-month,Mailed check,DSL,0.7464,1
2026-09-07 15:51:06,11278,66,110.54,6800.39,6,6,Month-to-month,Electronic check,DSL,0.7978,1
2026-09-07 15:51:08,11279,60,119.57,6609.83,2,2,Month-to-month,Electronic check,Fiber optic,0.7233,1
2026-09-07 15:51:10,11280,70,90.54,6268.09,1,10,Month-to-month,Mailed check,DSL,0.676,1
2026-09-07 15:51:12,11281,38,39.64,1544.01,7,0,Two year,Bank transfer,No,0.2163,0
2026-09-07 15:51:14,11282,12,102.93,1249.06,1,4,Month-to-month,Credit card,DSL,0.7095,1
2026-09-07 15:51:16,11283,8,60.23,500.44,1,7,Month-to-month,Mailed check,DSL,0.8313,1
2026-09-07 15:51:18,11284,37,108.33,4101.49,5,7,Month-to-month,Credit card,No,0.7798,1
2026-09-07 15:51:20,11285,33,75.03,2308.25,3,3,Month-to-month,Bank transfer,Fiber optic,0.7008,1
2026-09-07 15:51:22,11286,40,98.64,3808.35,1,1,Month-to-month,Bank transfer,DSL,0.6054,1
2026-09-07 15:51:25,11287,53,76.09,4213.07,1,7,Month-to-month,Bank transfer,DSL,0.7919,1
2026-09-07 15:51:27,11288,56,71.45,4048.45,4,0,Month-to-month,Credit card,DSL,0.6949,1
2026-09-07 15:51:29,11289,32,82.39,2318.59,1,2,Two year,Bank transfer,DSL,0.3519,0
2026-09-07 15:51:31,11290,40,101.32,3765.47,2,2,Month-to-month,Electronic check,No,0.7846,1
2026-09-07 15:51:33,11291,19,31.75,563.98,4,4,Month-to-month,Bank transfer,No,0.822,1
2026-09-07 15:51:35,11292,52,115.53,6221.15,3,7,Month-to-month,Bank transfer,Fiber optic,0.7282,1
2026-09-07 15:51:38,11293,63,51.9,2850.02,3,5,Month-to-month,Electronic check,Fiber optic,0.6014,1
2026-09-07 15:51:40,11294,38,115.34,4181.58,3,7,Month-to-month,Credit card,No,0.7634,1
2026-09-07 15:51:42,11295,34,66.08,2122.19,2,7,One year,Credit card,No,0.3839,0
2026-09-07 15:51:44,11296,27,42.24,1083.71,4,2,Month-to-month,Credit card,Fiber optic,0.5257,1
2026-09-07 15:51:46,11297,71,75.85,4820.18,2,7,Two year,Bank transfer,No,0.2527,0
2026-09-07 15:51:49,11298,4,70.2,284.31,7,6,Month-to-month,Bank transfer,DSL,0.7642,1
2026-09-07 15:51:51,11299,41,71.25,2944.45,2,5,Month-to-month,Bank transfer,Fiber optic,0.6943,1
2026-09-07 15:51:53,11300,49,47.68,2389.78,5,7,Month-to-month,Mailed check,DSL,0.6167,1
2026-09-07 15:51:55,11301,8,101.82,797.78,7,6,Month-to-month,Bank transfer,Fiber optic,0.7875,1
2026-09-07 15:51:57,11302,19,80.44,1414.34,6,2,One year,Credit card,Fiber optic,0.2755,0
2026-09-07 15:51:59,11303,70,76.07,5189.12,1,3,Month-to-month,Electronic check,Fiber optic,0.577,1
2026-09-07 15:52:01,11304,14,85.09,1023.46,2,5,One year,Electronic check,Fiber optic,0.3119,0
2026-09-07 15:52:03,11305,13,33.72,454.99,4,3,Month-to-month,Credit card,DSL,0.7868,1
2026-09-07 15:52:06,11306,25,105.13,2556.92,1,2,One year,Electronic check,Fiber optic,0.499,0
2026-09-07 15:52:08,11307,4,101.96,351.35,6,4,One year,Electronic check,DSL,0.4199,0
2026-09-07 15:52:10,11308,37,68.17,2531.6,4,3,Two year,Bank transfer,DSL,0.3086,0
2026-09-07 15:52:12,11309,51,73.94,3749.56,6,8,Month-to-month,Mailed check,Fiber optic,0.6127,1
2026-09-07 15:52:14,11310,61,83.86,4404.42,1,2,One year,Bank transfer,DSL,0.2839,0
2026-09-07 15:52:16,11311,72,96.39,6043.83,2,10,Month-to-month,Credit card,No,0.6989,1
2026-09-07 15:52:18,11312,28,103.3,2774.16,4,3,Month-to-month,Bank transfer,Fiber optic,0.8144,1
2026-09-07 15:52:20,11313,35,31.64,988.6,6,4,One year,Electronic check,No,0.258,0
2026-09-07 15:52:22,11314,20,93.2,1587.82,7,0,Month-to-month,Credit card,DSL,0.6555,1
2026-09-07 15:52:25,11315,29,84.43,2241.87,7,3,Month-to-month,Bank transfer,Fiber optic,0.7525,1
2026-09-07 15:52:27,11316,61,93.7,5670.87,3,4,Month-to-month,Credit card,DSL,0.5921,1
2026-09-07 15:52:29,11317,44,75.71,2885.12,2,8,Two year,Credit card,Fiber optic,0.4599,0
2026-09-07 15:52:31,11318,12,89.59,1046.78,6,5,Month-to-month,Mailed check,DSL,0.7895,1
2026-09-07 15:52:33,11319,32,77.26,2135.29,6,5,One year,Credit card,DSL,0.4283,0
2026-09-07 15:52:36,11320,58,76.71,3850.36,6,2,One year,Mailed check,Fiber optic,0.3766,0
2026-09-07 15:52:38,11321,67,30.4,1924.43,2,5,One year,Credit card,Fiber optic,0.1996,0
2026-09-07 15:52:40,11322,15,92.8,1361.79,2,1,Month-to-month,Bank transfer,No,0.8449,1
2026-09-07 15:52:42,11323,51,79.51,3807.4,3,9,Month-to-month,Bank transfer,DSL,0.6894,1
2026-09-07 15:52:44,11324,27,44.89,1049.16,6,10,Month-to-month,Credit card,No,0.7193,1
2026-09-07 15:52:46,11325,5,97.26,435.74,5,7,One year,Mailed check,Fiber optic,0.4253,0
2026-09-07 15:52:48,11326,36,83.58,2833.75,4,5,Month-to-month,Mailed check,DSL,0.8591,1
2026-09-07 15:52:51,11327,2,104.02,215.65,2,0,Month-to-month,Mailed check,DSL,0.8298,1
2026-09-07 15:52:53,11328,35,92.1,2914.08,4,6,Two year,Bank transfer,Fiber optic,0.3823,0
2026-09-07 15:52:55,11329,69,68.18,4363.23,2,7,One year,Credit card,Fiber optic,0.2453,0
2026-09-07 15:52:57,11330,46,61.0,2632.07,4,7,Month-to-month,Electronic check,DSL,0.7364,1
2026-09-07 15:52:59,11331,44,38.06,1694.9,3,2,Month-to-month,Electronic check,Fiber optic,0.6316,1
2026-09-07 15:53:01,11332,42,74.33,2874.05,7,4,Month-to-month,Credit card,No,0.6472,1
2026-09-07 15:53:03,11333,35,87.11,2934.19,6,6,One year,Credit card,DSL,0.3648,0
2026-09-07 15:53:05,11334,44,48.43,2139.83,3,0,Month-to-month,Electronic check,Fiber optic,0.684,1
2026-09-07 15:53:08,11335,57,111.68,5956.05,4,1,Month-to-month,Bank transfer,Fiber optic,0.6214,1
2026-09-07 15:53:10,11336,2,58.37,108.96,6,4,One year,Bank transfer,Fiber optic,0.5483,1
2026-09-07 15:53:12,11337,6,64.53,349.78,2,3,One year,Mailed check,DSL,0.4296,0
2026-09-07 15:53:14,11338,52,30.06,1526.25,1,10,Month-to-month,Electronic check,Fiber optic,0.6819,1
2026-09-07 15:53:16,11339,20,117.36,2206.76,3,9,Month-to-month,Credit card,No,0.8581,1
2026-09-07 15:53:18,11340,40,51.96,1811.5,6,2,Two year,Electronic check,Fiber optic,0.2958,0
2026-09-07 15:53:20,11341,7,32.7,217.07,7,10,Month-to-month,Electronic check,Fiber optic,0.8312,1
2026-09-07 15:53:23,11342,69,114.66,7373.11,3,8,Month-to-month,Mailed check,Fiber optic,0.7736,1
2026-09-07 15:53:25,11343,46,63.07,2652.28,6,2,One year,Bank transfer,Fiber optic,0.2561,0
2026-09-07 15:53:27,11344,22,109.99,2389.53,4,3,Two year,Mailed check,DSL,0.4414,0
2026-09-07 15:53:29,11345,13,63.56,859.12,2,5,Month-to-month,Electronic check,Fiber optic,0.8787,1
2026-09-07 15:53:31,11346,27,80.25,1848.22,7,5,Month-to-month,Mailed check,No,0.7239,1
2026-09-07 15:53:33,11347,33,106.91,3235.37,7,5,One year,Electronic check,Fiber optic,0.3521,0
2026-09-07 15:53:35,11348,40,82.15,3276.4,1,2,Month-to-month,Mailed check,Fiber optic,0.7039,1
2026-09-07 15:53:37,11349,66,68.51,3992.09,2,2,One year,Bank transfer,Fiber optic,0.2524,0
2026-09-07 15:53:40,11350,27,101.35,2586.78,3,6,One year,Credit card,Fiber optic,0.3433,0
2026-09-07 15:53:42,11351,44,25.7,964.7,7,2,Month-to-month,Mailed check,Fiber optic,0.5485,1
2026-09-07 15:53:44,11352,19,92.52,1605.36,2,6,One year,Credit card,Fiber optic,0.3078,0
2026-09-07 15:53:46,11353,35,40.49,1411.41,3,8,One year,Mailed check,No,0.3899,0
2026-09-07 15:53:48,11354,28,25.91,748.32,1,7,Two year,Credit card,DSL,0.336,0
2026-09-07 15:53:50,11355,34,45.14,1345.21,7,4,Month-to-month,Electronic check,DSL,0.5827,1
2026-09-07 15:53:52,11356,54,47.01,2266.63,1,8,One year,Bank transfer,Fiber optic,0.2641,0
2026-09-07 15:53:54,11357,29,57.24,1736.61,3,4,Month-to-month,Credit card,Fiber optic,0.7064,1
2026-09-07 15:53:57,11358,29,63.31,1727.39,5,9,Month-to-month,Mailed check,DSL,0.7763,1
2026-09-07 15:53:59,11359,17,62.65,968.33,1,10,One year,Bank transfer,Fiber optic,0.4121,0
2026-09-07 15:54:01,11360,55,62.06,3090.23,3,4,Month-to-month,Bank transfer,DSL,0.7001,1
2026-09-07 15:54:03,11361,17,108.49,1858.07,5,6,Month-to-month,Mailed check,Fiber optic,0.8782,1
2026-09-07 15:54:05,11362,33,89.33,2513.85,4,5,Month-to-month,Bank transfer,Fiber optic,0.8366,1
2026-09-07 15:54:07,11363,26,84.05,2116.74,7,7,One year,Bank transfer,Fiber optic,0.4384,0
2026-09-07 15:54:09,11364,38,112.01,3647.5,7,6,Month-to-month,Credit card,Fiber optic,0.7042,1
2026-09-07 15:54:11,11365,7,115.52,801.74,2,1,Month-to-month,Electronic check,DSL,0.7382,1
2026-09-07 15:54:14,11366,5,26.53,131.75,5,8,Month-to-month,Mailed check,No,0.846,1
2026-09-07 15:54:16,11367,37,103.97,3600.35,4,9,Two year,Credit card,Fiber optic,0.5457,1
2026-09-07 15:54:18,11368,67,30.87,2067.7,7,4,One year,Electronic check,No,0.2633,0
2026-09-07 15:54:20,11369,65,100.39,6144.16,5,5,Month-to-month,Electronic check,Fiber optic,0.7099,1
2026-09-07 15:54:22,11370,10,41.72,360.45,5,6,Month-to-month,Credit card,DSL,0.8082,1
2026-09-07 15:54:24,11371,71,31.34,1941.08,5,8,One year,Electronic check,No,0.2734,0
2026-09-07 15:54:26,11372,34,38.58,1342.61,3,4,Month-to-month,Electronic check,DSL,0.7114,1
2026-09-07 15:54:29,11373,68,51.01,3094.69,5,6,Two year,Mailed check,Fiber optic,0.2444,0
2026-09-07 15:54:31,11374,62,104.41,6176.59,2,9,Month-to-month,Credit card,Fiber optic,0.7624,1
2026-09-07 15:54:33,11375,23,77.44,1775.04,4,10,Month-to-month,Mailed check,DSL,0.8009,1
2026-09-07 15:54:35,11376,43,42.31,1685.08,2,1,Month-to-month,Electronic check,Fiber optic,0.7094,1
2026-09-07 15:54:37,11377,30,60.29,1681.34,5,6,Month-to-month,Credit card,Fiber optic,0.7076,1
2026-09-07 15:54:39,11378,66,40.65,2386.65,3,1,Month-to-month,Mailed check,Fiber optic,0.5067,1
2026-09-07 15:54:41,11379,5,68.84,347.26,4,5,Two year,Bank transfer,No,0.5589,1
2026-09-07 15:54:43,11380,15,65.77,894.79,1,4,Month-to-month,Mailed check,Fiber optic,0.887,1
2026-09-07 15:54:46,11381,8,116.89,858.26,2,9,Two year,Electronic check,DSL,0.4912,0
2026-09-07 15:54:48,11382,47,32.13,1360.63,1,10,Month-to-month,Mailed check,DSL,0.7525,1
2026-09-07 15:54:50,11383,47,91.37,4489.13,6,7,Month-to-month,Mailed check,Fiber optic,0.7321,1
2026-09-07 15:54:52,11384,26,102.44,2620.65,1,7,Month-to-month,Credit card,No,0.8267,1
2026-09-07 15:54:54,11385,45,47.71,2030.06,3,8,Month-to-month,Mailed check,Fiber optic,0.6989,1
2026-09-07 15:54:56,11386,54,69.45,3844.26,2,1,Two year,Mailed check,Fiber optic,0.2876,0
2026-09-07 15:54:58,11387,53,97.65,4936.71,4,4,Month-to-month,Credit card,DSL,0.7096,1
2026-09-07 15:55:00,11388,2,50.14,99.74,7,7,Month-to-month,Bank transfer,No,0.7962,1
2026-09-07 15:55:03,11389,2,99.6,175.68,6,0,Month-to-month,Credit card,Fiber optic,0.8136,1
2026-09-07 15:55:05,11390,21,83.2,1491.12,5,4,Month-to-month,Credit card,DSL,0.776,1
2026-09-07 15:55:07,11391,8,115.93,788.55,6,6,Two year,Credit card,Fiber optic,0.4749,0
2026-09-07 15:55:09,11392,43,39.65,1546.21,4,8,Month-to-month,Credit card,DSL,0.7902,1
2026-09-07 15:55:11,11393,13,54.52,689.23,5,9,Month-to-month,Mailed check,DSL,0.8564,1
2026-09-07 15:55:13,11394,9,32.44,272.64,7,9,Month-to-month,Bank transfer,Fiber optic,0.8121,1
2026-09-07 15:55:15,11395,27,75.74,1930.26,6,9,Month-to-month,Electronic check,No,0.7864,1
2026-09-07 15:55:17,11396,29,115.19,3321.74,4,1,One year,Bank transfer,DSL,0.3705,0
2026-09-07 15:55:20,11397,70,25.05,1566.71,3,1,Month-to-month,Electronic check,Fiber optic,0.378,0
2026-09-07 15:55:22,11398,47,79.75,3555.78,3,5,One year,Electronic check,No,0.3363,0
2026-09-07 15:55:24,11399,25,40.8,890.03,2,7,One year,Mailed check,Fiber optic,0.4597,0
2026-09-07 15:55:26,11400,29,29.17,832.4,3,2,One year,Electronic check,DSL,0.2089,0
2026-09-07 15:55:28,11401,23,68.8,1641.11,1,8,Month-to-month,Electronic check,Fiber optic,0.8091,1
2026-09-07 15:55:30,11402,39,25.11,1002.05,1,5,Two year,Credit card,Fiber optic,0.2967,0
2026-09-07 15:55:32,11403,72,89.42,5772.18,3,2,One year,Mailed check,Fiber optic,0.2658,0
2026-09-07 15:55:34,11404,35,104.46,3489.19,6,3,Month-to-month,Electronic check,DSL,0.7597,1
2026-09-07 15:55:37,11405,17,80.26,1361.92,3,2,Month-to-month,Mailed check,No,0.8347,1
2026-09-07 15:55:39,11406,17,21.34,376.17,6,2,One year,Credit card,Fiber optic,0.3737,0
2026-09-07 15:55:41,11407,40,119.73,4112.43,4,8,Month-to-month,Electronic check,Fiber optic,0.758,1
2026-09-07 15:55:43,11408,36,105.6,3393.04,6,2,One year,Bank transfer,No,0.3962,0
2026-09-07 15:55:45,11409,44,42.26,1927.47,5,1,Two year,Electronic check,DSL,0.2881,0
2026-09-07 15:55:47,11410,17,81.98,1382.04,7,9,Month-to-month,Credit card,DSL,0.8232,1
2026-09-07 15:55:49,11411,22,107.76,2220.59,6,5,Month-to-month,Electronic check,Fiber optic,0.73,1
2026-09-07 15:55:51,11412,43,70.83,2869.3,7,1,Month-to-month,Credit card,Fiber optic,0.5582,1
2026-09-07 15:55:53,11413,30,30.18,850.06,7,7,Month-to-month,Bank transfer,Fiber optic,0.6529,1
2026-09-07 15:55:56,11414,54,37.75,1846.43,3,6,Month-to-month,Electronic check,Fiber optic,0.5871,1
2026-09-07 15:55:58,11415,54,78.03,3806.04,4,10,Month-to-month,Credit card,DSL,0.7411,1
2026-09-07 15:56:00,11416,21,54.41,1057.23,3,3,Month-to-month,Electronic check,Fiber optic,0.7109,1
2026-09-07 15:56:02,11417,71,98.61,6700.98,5,7,One year,Electronic check,DSL,0.3072,0
2026-09-07 15:56:04,11418,65,58.24,3893.61,6,4,One year,Credit card,Fiber optic,0.2899,0
2026-09-07 15:56:06,11419,56,96.05,5469.65,2,5,Month-to-month,Bank transfer,DSL,0.7447,1
2026-09-07 15:56:09,11420,6,54.25,327.64,7,5,Month-to-month,Bank transfer,DSL,0.7147,1
2026-09-07 15:56:11,11421,66,42.96,2616.63,3,6,Two year,Bank transfer,Fiber optic,0.3185,0
2026-09-07 15:56:13,11422,50,20.58,911.9,3,4,One year,Bank transfer,Fiber optic,0.2838,0
2026-09-07 15:56:15,11423,29,23.47,654.28,4,2,One year,Mailed check,No,0.3136,0
2026-09-07 15:56:17,11424,16,43.13,607.46,3,10,Two year,Bank transfer,DSL,0.5523,1
2026-09-07 15:56:19,11425,9,111.21,1024.19,7,7,One year,Bank transfer,No,0.5441,1
2026-09-07 15:56:21,11426,38,109.53,3854.99,1,2,Month-to-month,Electronic check,No,0.7278,1
2026-09-07 15:56:23,11427,4,74.91,288.11,6,9,Month-to-month,Electronic check,No,0.841,1
2026-09-07 15:56:26,11428,27,42.12,977.88,6,9,Two year,Credit card,Fiber optic,0.2579,0
2026-09-07 15:56:28,11429,51,102.45,5256.12,6,2,Two year,Mailed check,No,0.2684,0
2026-09-07 15:56:30,11430,55,111.95,6260.66,2,3,One year,Mailed check,DSL,0.322,0
2026-09-07 15:56:32,11431,72,98.9,6372.23,2,6,One year,Credit card,Fiber optic,0.1487,0
2026-09-07 15:56:34,11432,11,85.63,945.01,6,8,Month-to-month,Credit card,Fiber optic,0.8245,1
2026-09-07 15:56:36,11433,18,62.4,1141.46,5,0,Two year,Bank transfer,No,0.301,0
